Name,Age,2024 Net Worth,Industry,Source of Wealth,Self-Made,Residence,Citizenship,Gender,Marital Status,Children
Mahendra Choksi & family,82,$5.5B,Manufacturing,Paints,FALSE,"Mumbai, India",India,M,Married,2
Andrew Currie,68,$5.5B,Manufacturing,Chemicals,TRUE,"London, United Kingdom",United Kingdom,M,N/A,N/A
Peter Gilgan,73,$5.5B,Construction & Engineering,Homebuilding,TRUE,"Toronto, Canada",Canada,M,Single,8
Sumet Jiaravanon,89,$5.5B,Diversified,Diversified,FALSE,"Bangkok, Thailand",Thailand,M,Married,N/A
Igor Kesaev,57,$5.5B,Fashion & Retail,"Tobacco distribution, retail",TRUE,"Moscow, Russia",Russia,M,Married,3
Lin Li,60,$5.5B,Finance & Investments,Investments,TRUE,"Shenzhen, China",China,M,Married,1
George Lucas,79,$5.5B,Media & Entertainment,Star Wars,TRUE,"San Anselmo, California",United States,M,Married,4
Doug Meijer & family,70,$5.5B,Fashion & Retail,Supermarkets,FALSE,"Grand Rapids, Michigan",United States,M,Divorced,1
Hank Meijer & family,72,$5.5B,Fashion & Retail,Supermarkets,FALSE,"Grand Rapids, Michigan",United States,M,Married,3
Mark Meijer & family,66,$5.5B,Fashion & Retail,Supermarkets,FALSE,"Grand Rapids, Michigan",United States,M,N/A,N/A
John Reece,67,$5.5B,Manufacturing,Chemicals,TRUE,"London, United Kingdom",United Kingdom,M,N/A,N/A
Juan Roig,74,$5.5B,Fashion & Retail,Supermarkets,FALSE,"Valencia, Spain",Spain,M,Married,4
Chairul Tanjung,61,$5.5B,Diversified,Diversified,TRUE,"Jakarta, Indonesia",Indonesia,M,Married,2
Jaran Chiaravanont,94,$5.4B,Diversified,Diversified,FALSE,"Bangkok, Thailand",Thailand,M,Married,4
Mark Cuban,65,$5.4B,Media & Entertainment,"Online media, Dallas Mavericks",TRUE,"Dallas, Texas",United States,M,Married,3
Archie Aldis Emmerson & family,94,$5.4B,Manufacturing,"Timberland, lumber mills",TRUE,"Redding, California",United States,M,Married,3
Martin Haefner,70,$5.4B,Technology,"Software, investments",FALSE,"Zurich, Switzerland",Switzerland,M,Married,N/A
"Robert Hale, Jr.",57,$5.4B,Telecom,Telecom,TRUE,"Boston, Massachusetts",United States,M,Married,N/A
Horst Julius Pudwill,79,$5.4B,Manufacturing,Manufacturing,TRUE,"Hong Kong, Hong Kong",Germany,M,Married,1
Thomas Secunda,69,$5.4B,Finance & Investments,Bloomberg LP,TRUE,"Croton-on-Hudson, New York",United States,M,Married,2
Jon Stryker,65,$5.4B,Healthcare,Medical equipment,FALSE,"New York, New York",United States,M,Married,2
Torbjorn Tornqvist,70,$5.4B,Energy,Oil trading,TRUE,"Geneva, Switzerland",Sweden,M,N/A,N/A
Robert Bass,76,$5.3B,Energy,"Oil, investments",FALSE,"Fort Worth, Texas",United States,M,Married,4
Rick Caruso,65,$5.3B,Real Estate,Real estate,TRUE,"Los Angeles, California",United States,M,Married,4
Charles B. Johnson,91,$5.3B,Finance & Investments,Franklin Templeton,FALSE,"Palm Beach, Florida",United States,M,Married,6
Dan Kurzius,52,$5.3B,Technology,Email marketing,TRUE,"Atlanta, Georgia",United States,M,Married,2
Thai Lee,65,$5.3B,Technology,IT provider,TRUE,"Austin, Texas",United States,F,Divorced,2
Joao Moreira Salles,62,$5.3B,Diversified,"Banking, minerals",FALSE,"Rio de Janeiro, Brazil",Brazil,M,Divorced,1
Walther Moreira Salles Junior,67,$5.3B,Finance & Investments,"Banking, minerals",FALSE,"Rio de Janeiro, Brazil",Brazil,M,Married,1
Daniel Tsai,67,$5.3B,Finance & Investments,Finance,FALSE,"Taipei, Taiwan",Taiwan,M,Married,4
Ronald Wanek,82,$5.3B,Manufacturing,Furniture,TRUE,"Saint Petersburg, Florida",United States,M,Married,3
Michael Ashley,59,$5.2B,Fashion & Retail,Sports retailing,TRUE,"Hertfordshire, United Kingdom",United Kingdom,M,Divorced,N/A
Rajiv Bajaj,57,$5.2B,Diversified,Diversified,FALSE,"Pune, India",India,M,Married,1
Sanjiv Bajaj,54,$5.2B,Diversified,Diversified,FALSE,"Pune, India",India,M,Married,2
Charles Dolan & family,97,$5.2B,Media & Entertainment,Cable television,TRUE,"Oyster Bay, New York",United States,M,Widowed,6
Min Kao & family,75,$5.2B,Technology,Navigation equipment,TRUE,"Leawood, Kansas",United States,M,Married,2
"Andre Koo, Sr.",56,$5.2B,Finance & Investments,Financial services,FALSE,"Taipei, Taiwan",Taiwan,M,Married,2
Mikhail Lomtadze,48,$5.2B,Finance & Investments,Fintech,TRUE,"Almaty, Kazakhstan",Georgia,M,Single,N/A
Abdulsamad Rabiu,63,$5.2B,Diversified,"Cement, sugar",FALSE,"Lagos, Nigeria",Nigeria,M,Married,N/A
Richard Tsai,66,$5.2B,Finance & Investments,Finance,FALSE,"Taipei, Taiwan",Taiwan,M,Married,2
Gerda Tschira,N/A,$5.2B,Technology,software,FALSE,Germany,Germany,M,N/A,N/A
Harald Tschira,49,$5.2B,Technology,Software,FALSE,"Heidelberg, Germany",Germany,M,N/A,N/A
Udo Tschira,54,$5.2B,Technology,Software,FALSE,"Wiesloch, Germany",Germany,M,N/A,N/A
Elizabeth Uihlein,78,$5.2B,Manufacturing,Packaging materials,TRUE,"Lake Forest, Illinois",United States,F,Married,3
Richard Uihlein,78,$5.2B,Manufacturing,Packaging materials,TRUE,"Lake Forest, Illinois",United States,M,Married,3
Russ Weiner,53,$5.2B,Food & Beverage,Energy drinks,TRUE,"Delray Beach, Florida",United States,M,Single,N/A
Wu Jianshu,60,$5.2B,Automotive,Auto parts,TRUE,"Ningbo, China",Hong Kong,M,N/A,N/A
Ron Baron,80,$5.1B,Finance & Investments,Money management,TRUE,"New York, New York",United States,M,Married,2
Garrett Camp,45,$5.1B,Technology,Uber,TRUE,"San Francisco, California",Canada,M,In Relationship,N/A
Dagmar Dolby & family,82,$5.1B,Technology,Dolby Laboratories,FALSE,"San Francisco, California",United States,F,Widowed,2
Bill Haslam,65,$5.1B,Fashion & Retail,Gas stations,FALSE,"Knoxville, Tennessee",United States,M,Married,3
John Henry,74,$5.1B,Sports,Sports,TRUE,"Boca Raton, Florida",United States,M,Married,2
Dietmar Hopp & family,83,$5.1B,Technology,Software,TRUE,"Walldorf, Germany",Germany,M,Married,2
Justin Ishbia,46,$5.1B,Finance & Investments,Private equity,FALSE,"Chicago, Illinois",United States,M,Married,3
Joseph Liemandt,55,$5.1B,Technology,Software,TRUE,"Austin, Texas",United States,M,Single,N/A
Liu Yonghao & family,72,$5.1B,Service,Agribusiness,TRUE,"Chengdu, China",China,M,Married,2
Sami Mnaymneh,62,$5.1B,Finance & Investments,Private equity,TRUE,"Miami Beach, Florida",United States,M,N/A,N/A
Jean (Gigi) Pritzker,61,$5.1B,Service,"Hotels, investments",FALSE,"Los Angeles, California",United States,F,Married,3
Hussain Sajwani,71,$5.1B,Real Estate,Real estate,TRUE,"Dubai, United Arab Emirates",United Arab Emirates,M,Married,4
Tony Tamer,66,$5.1B,Finance & Investments,Private equity,TRUE,"New York, New York",United States,M,Married,4
Murat Ulker,65,$5.1B,Food & Beverage,Food,FALSE,"Istanbul, Turkey",Turkey,M,Married,3
Romesh T. Wadhwani,76,$5.1B,Technology,Software,TRUE,"Palo Alto, California",United States,M,Married,1
Ben Chestnut,49,$5B,Technology,Email marketing,TRUE,"Atlanta, Georgia",United States,M,Married,2
Vinod Rai Gupta,78,$5B,Manufacturing,Electrical equipment,FALSE,"Delhi, India",India,F,Widowed,N/A
Helen Johnson-Leipold,67,$5B,Manufacturing,Cleaning products,FALSE,"Racine, Wisconsin",United States,F,Married,5
Daryl Katz,62,$5B,Diversified,Pharmacies,TRUE,"Edmonton, Canada",Canada,M,Married,2
Timur Kulibaev,57,$5B,Finance & Investments,Banking,TRUE,"Almaty, Kazakhstan",Kazakhstan,M,Married,3
Dinara Kulibaeva,56,$5B,Finance & Investments,Banking,FALSE,"Almaty, Kazakhstan",Kazakhstan,F,Married,3
Michel Leclercq & family,84,$5B,Fashion & Retail,Sporting goods,FALSE,"Lille, France",France,M,Married,4
Luo Liguo & family,68,$5B,Manufacturing,Chemicals,TRUE,"Ningbo, China",China,M,Married,2
John Sall,76,$5B,Technology,Software,TRUE,"Cary, North Carolina",United States,M,Married,4
Alexandra Schoerghuber & family,65,$5B,Real Estate,Real estate,FALSE,"Munich, Germany",Germany,F,Widowed,3
Mark Shoen,73,$5B,Automotive,U-Haul,FALSE,"Phoenix, Arizona",United States,M,Married,1
Ken Xie,61,$5B,Technology,Cybersecurity,TRUE,"Los Altos Hills, California",United States,M,Married,N/A
Margot Birmingham Perot,90,$4.9B,Technology,"Computer services, real estate",FALSE,"Dallas, Texas",United States,F,Widowed,5
Alejandro Bulgheroni,79,$4.9B,Energy,Oil & gas,FALSE,"Manantiales, Uruguay",Argentina,M,Married,7
Albert Chao & family,74,$4.9B,Manufacturing,"Chemicals, building products",FALSE,"Houston, Texas",United States,M,N/A,N/A
James Chao & family,76,$4.9B,Manufacturing,"Chemicals, building products",FALSE,"Houston, Texas",United States,M,N/A,N/A
Dorothy Chao Jenkins & family,78,$4.9B,Manufacturing,"Chemicals, building products",FALSE,"Lakeland, Florida",United States,F,N/A,N/A
Mong-Koo Chung,86,$4.9B,Automotive,Hyundai,FALSE,"Seoul, South Korea",South Korea,M,Married,4
Jack Dorsey,47,$4.9B,Technology,"Twitter, Square",TRUE,"San Francisco, California",United States,M,Single,N/A
Johnelle Hunt,92,$4.9B,Logistics,Trucking,TRUE,"Fayetteville, Arkansas",United States,F,Widowed,2
Bidzina Ivanishvili,68,$4.9B,Finance & Investments,Investments,TRUE,"Tbilisi, Georgia",Georgia,M,Married,4
H. Fisk Johnson,65,$4.9B,Manufacturing,Cleaning products,FALSE,"Racine, Wisconsin",United States,M,Divorced,1
S. Curtis Johnson,68,$4.9B,Manufacturing,Cleaning products,FALSE,"Racine, Wisconsin",United States,M,Married,4
Ananda Krishnan,86,$4.9B,Telecom,"Telecoms, media, oil-services",TRUE,"Kuala Lumpur, Malaysia",Malaysia,M,Married,3
Margarita Louis-Dreyfus & family,61,$4.9B,Food & Beverage,Commodities,FALSE,"Davos, Switzerland",Switzerland,F,Widowed,3
Winifred J. Marquart,65,$4.9B,Manufacturing,Cleaning products,FALSE,"Virginia Beach, Virginia",United States,F,Married,4
Firoz Mistry,27,$4.9B,Diversified,Diversified,FALSE,"Mumbai, India",Ireland,M,Single,N/A
Zahan Mistry,25,$4.9B,Diversified,Diversified,FALSE,"Mumbai, India",Ireland,M,Single,N/A
Arturo Moreno,77,$4.9B,Sports,"Billboards, Los Angeles Angels",TRUE,"Phoenix, Arizona",United States,M,Married,3
Chandru Raheja,83,$4.9B,Real Estate,Real estate,FALSE,"Mumbai, India",India,M,Married,2
Mitchell Rales,67,$4.9B,Manufacturing,"Manufacturing, investments",TRUE,"Potomac, Maryland",United States,M,Married,2
Trevor Rees-Jones,72,$4.9B,Energy,Oil & gas,TRUE,"Dallas, Texas",United States,M,Married,2
Odd Reitan & family,72,$4.9B,Fashion & Retail,"Retail, real estate",FALSE,"Trondheim, Norway",Norway,M,Married,2
Vivek Chaand Sehgal,67,$4.9B,Automotive,Auto parts,TRUE,"Delhi, India",Australia,M,Married,2
Herbert Wertheim,84,$4.9B,Finance & Investments,Investments,TRUE,"Coral Gables, Florida",United States,M,Married,2
Zhang Yong,53,$4.9B,Food & Beverage,Restaurants,TRUE,"Singapore, Singapore",Singapore,M,Married,N/A
Giuseppe De'Longhi & family,84,$4.8B,Fashion & Retail,Coffee makers,FALSE,"Treviso, Italy",Italy,M,Divorced,2
Stephen Feinberg,64,$4.8B,Finance & Investments,Private equity,TRUE,"New York, New York",United States,M,Married,3
Carlo Fidani,69,$4.8B,Real Estate,Real estate,FALSE,"Toronto, Canada",Canada,M,N/A,N/A
Rakesh Gangwal,70,$4.8B,Service,Airline,TRUE,"Miami, Florida",United States,M,Married,1
Gao Dekang & family,72,$4.8B,Fashion & Retail,Apparel,TRUE,"Changshu, China",China,M,Married,1
Renuka Jagtiani,70,$4.8B,Fashion & Retail,Retail,FALSE,"Dubai, United Arab Emirates",India,F,Widowed,3
Nithin Kamath,44,$4.8B,Finance & Investments,Financial services,TRUE,"Bangalore, India",India,M,Married,1
Richard Liu,50,$4.8B,Technology,E-commerce,TRUE,"Beijing, China",China,M,Married,N/A
Michael Pieper,78,$4.8B,Manufacturing,Kitchen appliances,TRUE,"Lucerne, Switzerland",Switzerland,M,Married,2
Herb Simon,89,$4.8B,Real Estate,Real estate,TRUE,"Indianapolis, Indiana",United States,M,Married,8
Steven Spielberg,77,$4.8B,Media & Entertainment,Movies,TRUE,"Pacific Palisades, California",United States,M,Married,7
Tahir & family,72,$4.8B,Diversified,Diversified,TRUE,"Jakarta, Indonesia",Indonesia,M,Married,4
Hansjoerg Wyss,89,$4.8B,Healthcare,Medical devices,TRUE,"Wilson, Wyoming",Switzerland,M,Divorced,1
Rocco Basilico,34,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Los Angeles, California",Italy,M,N/A,N/A
William Berkley,77,$4.7B,Finance & Investments,Insurance,TRUE,"Coconut Grove, Florida",United States,M,Married,3
Leonid Boguslavsky,72,$4.7B,Finance & Investments,Venture capital,TRUE,"Florence, Italy",Canada,M,Married,4
Chan Laiwa & family,83,$4.7B,Real Estate,Real estate,TRUE,"Beijing, China",China,F,Married,3
Giuseppe Crippa & family,88,$4.7B,Manufacturing,Microchip testing,TRUE,"Cernusco Lombardone, Italy",Italy,M,Married,3
Kenneth Dart,68,$4.7B,Finance & Investments,Investments,FALSE,"George Town, Cayman Islands",Belize,M,Married,3
Claudio Del Vecchio,67,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Muttontown, New York",Italy,M,Married,3
Clemente Del Vecchio,19,$4.7B,Fashion & Retail,Eyeglases,FALSE,"Milan, Italy",Italy,M,N/A,N/A
Leonardo Maria Del Vecchio,28,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Milan, Italy",Italy,M,N/A,N/A
Luca Del Vecchio,22,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Milan, Italy",Italy,M,N/A,N/A
Marisa Del Vecchio,65,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Rome, Italy",Italy,F,N/A,N/A
Paola Del Vecchio,62,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Luxembourg, Luxembourg",Italy,F,Married,3
W. Herbert Hunt,95,$4.7B,Energy,Oil,FALSE,"Dallas, Texas",United States,M,Married,5
Jim Kavanaugh,61,$4.7B,Technology,IT provider,TRUE,"St. Louis, Missouri",United States,M,N/A,N/A
Friedrich Knapp,72,$4.7B,Fashion & Retail,Fashion retail,TRUE,"Brunswick, Germany",Germany,M,Married,3
Lin Bin,56,$4.7B,Technology,Smartphones,TRUE,"Beijing, China",United States,M,Married,N/A
Lin Jianhua,61,$4.7B,Manufacturing,Solar panel components,TRUE,"Hangzhou, China",China,M,Married,N/A
Ian Livingstone,61,$4.7B,Real Estate,Real estate,TRUE,"London, United Kingdom",United Kingdom,M,N/A,N/A
Richard Livingstone,59,$4.7B,Real Estate,Real estate,TRUE,"London, United Kingdom",United Kingdom,M,N/A,N/A
Willy Michel,77,$4.7B,Healthcare,Medical devices,TRUE,"Burgdorf, Switzerland",Switzerland,M,Married,3
N.R. Narayana Murthy,77,$4.7B,Technology,Software services,TRUE,"Bangalore, India",India,M,Married,2
Georg Nemetschek & family,90,$4.7B,Technology,Software,TRUE,"Munich, Germany",Germany,M,Widowed,2
Dirk Rossmann & family,77,$4.7B,Fashion & Retail,Drugstores,TRUE,"Lower-Saxony, Germany",Germany,M,Married,2
Nicoletta Zampillo,66,$4.7B,Fashion & Retail,Eyeglasses,FALSE,"Monaco, Monaco",Italy,F,Widowed,3
Zhu Yi,60,$4.7B,Healthcare,Pharmaceuticals,TRUE,"Chengdu, China",China,M,N/A,N/A
Juan Domingo Beckmann Legorreta & family,56,$4.6B,Food & Beverage,Tequila,FALSE,"Mexico City, Mexico",Mexico,M,N/A,N/A
Sanjit Biswas,42,$4.6B,Technology,Sensor systems,TRUE,"San Francisco, California",United States,M,Married,3
Francesco Gaetano Caltagirone,81,$4.6B,Construction & Engineering,"Cement, diversified",TRUE,"Rome, Italy",Italy,M,Married,3
Kim Beom-su,58,$4.6B,Technology,Online services,TRUE,"Seoul, South Korea",South Korea,M,Married,2
Ronald Lauder,80,$4.6B,Fashion & Retail,Estee Lauder,FALSE,"New York, New York",United States,M,Married,2
Jeffrey Lurie & family,72,$4.6B,Sports,Philadelphia Eagles,FALSE,"Wynnewood, Pennsylvania",United States,M,Married,2
Gwendolyn Sontheim Meyer,62,$4.6B,Food & Beverage,Cargill,FALSE,"Rancho Santa Fe, California",United States,F,Divorced,2
Akio Nitori,80,$4.6B,Fashion & Retail,Home furnishings,TRUE,"Hokkaido, Japan",Japan,M,Married,N/A
Kjell Inge Rokke,65,$4.6B,Logistics,"Shipping, seafood",TRUE,"Vettre, Norway",Norway,M,Married,4
Yasumitsu Shigeta,59,$4.6B,Telecom,Mobile phone retailer,TRUE,"Tokyo, Japan",Japan,M,Married,3
Zhu Baoguo & family,61,$4.6B,Healthcare,Pharmaceuticals,TRUE,"Shenzhen, China",China,M,Married,N/A
John Bicket,44,$4.5B,Technology,Sensor systems,TRUE,"San Francisco, California",United States,M,Married,2
Jim Coulter,64,$4.5B,Finance & Investments,Private equity,TRUE,"San Francisco, California",United States,M,Married,3
Brunello Cucinelli & family,70,$4.5B,Fashion & Retail,Fashion,TRUE,"Solomeo, Italy",Italy,M,Married,2
Jeff T. Green,47,$4.5B,Media & Entertainment,Digital advertising,TRUE,"Newbury Park, California",United States,M,N/A,N/A
"Jeremy Jacobs, Sr. & family",84,$4.5B,Service,Food service,FALSE,"East Aurora, New York",United States,M,Married,6
Dewi Kam,73,$4.5B,Energy,Coal,TRUE,"Jakarta, Indonesia",Indonesia,F,Married,N/A
Lai Meisong,53,$4.5B,Logistics,Package delivery,TRUE,"Shanghai, China",China,M,Married,N/A
Li Ping,56,$4.5B,Automotive,Batteries,TRUE,"Ningde, China",Hong Kong,M,N/A,N/A
Richard Li,57,$4.5B,Telecom,Telecom,FALSE,"Hong Kong, Hong Kong",Hong Kong,M,Single,3
Jorge Moll Filho & family,79,$4.5B,Healthcare,Hospitals,TRUE,"Rio de Janeiro, Brazil",Brazil,M,Married,5
Vikas Oberoi,53,$4.5B,Real Estate,Real estate,FALSE,"Mumbai, India",India,M,Married,2
Lynn Schusterman & family,85,$4.5B,Energy,"Oil & gas, investments",FALSE,"Tulsa, Oklahoma",United States,F,Widowed,3
Jeff Skoll,59,$4.5B,Technology,EBay,TRUE,"Los Angeles, California",United States,M,Single,N/A
Jerzy Starak,76,$4.5B,Healthcare,Pharmaceuticals,TRUE,"Konstancin, Poland",Poland,M,Married,3
Yitzhak Tshuva,75,$4.5B,Real Estate,Real estate,TRUE,"Netanya, Israel",Israel,M,Married,5
Joy Alukkas,67,$4.4B,Fashion & Retail,Jewelry,FALSE,"Cochin, India",India,M,Married,3
Jim Davis,64,$4.4B,Service,Staffing & recruiting,TRUE,"Cockeysville, Maryland",United States,M,Married,2
Juan Carlos Escotet,64,$4.4B,Finance & Investments,Banking,TRUE,"A Coruña, Spain",Venezuela,M,Married,4
Peter Grogg,82,$4.4B,Healthcare,Biochemicals,TRUE,"Liestal, Switzerland",Switzerland,M,N/A,N/A
Carlos Hank Rhon & family,76,$4.4B,Diversified,Banking,FALSE,"Mexico City, Mexico",Mexico,M,Married,3
Reed Hastings,63,$4.4B,Technology,Netflix,TRUE,"Santa Cruz, California",United States,M,Married,2
Martha Ingram & family,88,$4.4B,Media & Entertainment,"Book distribution, transportation",FALSE,"Nashville, Tennessee",United States,F,Widowed,4
James Irsay,64,$4.4B,Sports,Indianapolis Colts,FALSE,"Carmel, Indiana",United States,M,Divorced,3
"Rupert Johnson, Jr.",83,$4.4B,Finance & Investments,Franklin Templeton,FALSE,"Burlingame, California",United States,M,Married,N/A
Andrei Kozitsyn,63,$4.4B,Metals & Mining,Metals,TRUE,"Verkhniaya Pyshma, Russia",Russia,M,Married,1
Cliff Obrecht,38,$4.4B,Technology,Software,TRUE,"Sydney, Australia",Australia,M,Married,N/A
Melanie Perkins,36,$4.4B,Technology,Software,TRUE,"Sydney, Australia",Australia,F,Married,N/A
Isaac Perlmutter,81,$4.4B,Media & Entertainment,Marvel comics,TRUE,"Palm Beach, Florida",United States,M,Married,N/A
Pham Nhat Vuong,55,$4.4B,Diversified,Diversified,TRUE,"Hanoi, Vietnam",Vietnam,M,Married,3
Michael Saylor,59,$4.4B,Technology,cryptocurrency,TRUE,"Vienna, Virginia",United States,M,Single,N/A
Gil Shwed,55,$4.4B,Technology,Software,TRUE,"Tel Aviv, Israel",Israel,M,Single,N/A
Stephen Smith,72,$4.4B,Finance & Investments,Finance and investments,TRUE,"Toronto, Canada",Canada,M,Married,3
Dan Snyder,59,$4.4B,Sports,Washington Commanders,TRUE,"Potomac, Maryland",United States,M,Married,3
Michal Strnad,31,$4.4B,Manufacturing,Defense Contracting,FALSE,N/A,Czech Republic,M,Married,1
Stefan von Holtzbrinck,60,$4.4B,Media & Entertainment,Publishing,FALSE,"Stuttgart, Germany",Germany,M,N/A,N/A
Nusli Wadia,80,$4.4B,Food & Beverage,Consumer goods,FALSE,"Mumbai, India",India,M,Married,2
Xiang Guangda,66,$4.4B,Metals & Mining,metals,TRUE,"Wenzhou, China",China,M,N/A,N/A
William Ackman,57,$4.3B,Finance & Investments,Hedge funds,TRUE,"New York, New York",United States,M,Married,3
Pyotr Aven,69,$4.3B,Finance & Investments,"Oil, banking, telecom",TRUE,Latvia,Russia,M,Married,3
Nick Caporella,88,$4.3B,Food & Beverage,Beverages,TRUE,"Plantation, Florida",United States,M,Married,4
John Catsimatidis,75,$4.3B,Energy,"Oil, real estate",TRUE,"New York, New York",United States,M,Married,2
John Coates,54,$4.3B,Gambling & Casinos,Online gambling,TRUE,"Stoke-On-Trent, United Kingdom",United Kingdom,M,Married,2
Tench Coxe,66,$4.3B,Finance & Investments,Venture capital,TRUE,"Palo Alto, California",United States,M,Married,3
Daniel D'Aniello,77,$4.3B,Finance & Investments,Private equity,TRUE,"Vienna, Virginia",United States,M,Married,2
Wesley Edens,62,$4.3B,Finance & Investments,Investments,TRUE,"New York, New York",United States,M,Married,4
Abhay Firodia,79,$4.3B,Automotive,Automobiles,FALSE,"Pune, India",India,M,Married,4
Luca Garavoglia,55,$4.3B,Food & Beverage,Spirits,FALSE,"Milan, Italy",Italy,M,N/A,N/A
Hong Ra-hee,78,$4.3B,Technology,Samsung,FALSE,"Seoul, South Korea",South Korea,F,Widowed,3
Jin Baofang,71,$4.3B,Energy,Solar panels,TRUE,"Xingtai, China",China,M,Married,2
Marc Ladreit de Lacharriere,83,$4.3B,Finance & Investments,Finance,TRUE,"Paris, France",France,M,Divorced,4
Mark Leonard & family,67,$4.3B,Technology,Software,TRUE,"Toronto, Canada",Canada,M,N/A,N/A
Li Zhenguo & family,56,$4.3B,Manufacturing,Solar wafers and modules,TRUE,"Xi'an, China",China,M,Married,N/A
Gabe Newell,61,$4.3B,Gambling & Casinos,Videogames,TRUE,"Seattle, Washington",United States,M,Divorced,2
Clive Palmer,70,$4.3B,Metals & Mining,Mining,TRUE,"Brisbane, Australia",Australia,M,Married,3
Emanuele (Lino) Saputo & family,87,$4.3B,Food & Beverage,Cheese,FALSE,"Montreal, Canada",Canada,M,Married,3
Shaul Shani,69,$4.3B,Telecom,Telecom,TRUE,"Milan, Italy",Israel,M,N/A,N/A
E. Joe Shoen,74,$4.3B,Automotive,U-Haul,FALSE,"Phoenix, Arizona",United States,M,Married,N/A
Frank Wang,43,$4.3B,Technology,Drones,TRUE,"Shenzhen, China",China,M,Married,N/A
Michael Xie,55,$4.3B,Technology,Cybersecurity,TRUE,"Los Altos Hills, California",United States,M,Married,N/A
"Austen Cargill, II.",73,$4.2B,Food & Beverage,Cargill,FALSE,"Livingston, Montana",United States,M,Divorced,2
"James Cargill, II.",74,$4.2B,Food & Beverage,Cargill,FALSE,"Birchwood, Wisconsin",United States,M,Married,2
Barry Diller,82,$4.2B,Media & Entertainment,Online media,TRUE,"New York, New York",United States,M,Married,N/A
Charles Edelstenne,86,$4.2B,Manufacturing,Aviation,TRUE,"Paris, France",France,M,N/A,N/A
Daniel Ek,41,$4.2B,Technology,Spotify,TRUE,"Stockholm, Sweden",Sweden,M,Married,2
Maggie Gu,N/A,$4.2B,Fashion & Retail,Shein,TRUE,"Guangzhou, China",China,F,N/A,N/A
Rajiv Jain,56,$4.2B,Finance & Investments,Finance,TRUE,"Fort Lauderdale, Florida",United States,M,N/A,N/A
Peter Kellogg,81,$4.2B,Finance & Investments,Investments,FALSE,"Short Hills, New Jersey",United States,M,Married,3
Egor Kulkov,52,$4.2B,Healthcare,Pharmaceuticals,TRUE,"Grimisuat, Switzerland",Russia,M,N/A,N/A
Marianne Liebmann,70,$4.2B,Food & Beverage,Cargill,FALSE,"Bozeman, Montana",United States,F,Married,2
Molly Miao,N/A,$4.2B,Fashion & Retail,Shein,TRUE,"Guangzhou, China",China,F,N/A,N/A
Rajan Raheja & family,69,$4.2B,Diversified,Diversified,FALSE,"Mumbai, India",India,M,Married,2
Ren Xiaoqing,N/A,$4.2B,Fashion & Retail,Shein,TRUE,"Guangzhou, China",China,M,N/A,N/A
Steven Udvar-Hazy,78,$4.2B,Service,Aircraft leasing,TRUE,"Westlake, Texas",United States,M,Married,4
Gustav Magnar Witzoe,30,$4.2B,Food & Beverage,Fish farming,FALSE,"Kverva, Norway",Norway,M,Single,N/A
Samuel Yin,73,$4.2B,Diversified,Retail,FALSE,"Taipei, Taiwan",Taiwan,M,Married,2
Yu Renrong,58,$4.2B,Manufacturing,Semiconductors,TRUE,"Ningbo, China",China,M,N/A,N/A
Eric Yuan & family,54,$4.2B,Technology,Zoom Video Communications,TRUE,"Santa Clara, California",United States,M,Married,3
Zhang Daocai,74,$4.2B,Diversified,Valves,TRUE,"Shaoxing, China",China,M,N/A,2
Maggie Hardy,58,$4.1B,Service,Building materials,FALSE,"Belle Vernon, Pennsylvania",United States,F,Divorced,1
Brad Jacobs,67,$4.1B,Logistics,Logistics,TRUE,"Greenwich, Connecticut",United States,M,Married,4
Hamilton James & family,72,$4.1B,Finance & Investments,Investments,TRUE,"New York, New York",United States,M,Married,3
Jian Yao,N/A,$4.1B,Healthcare,Medical devices,FALSE,"Hong Kong, Hong Kong",China,F,Divorced,N/A
Jiang Bin,57,$4.1B,Technology,Acoustic components,TRUE,"Weifang, China",China,M,Married,1
Baba Kalyani,75,$4.1B,Automotive,Engineering,FALSE,"Pune, India",India,M,Married,1
Richard Schulze,83,$4.1B,Fashion & Retail,Best Buy,TRUE,"Naples, Florida",United States,M,"Widowed, Remarried",10
Erik Selin,56,$4.1B,Real Estate,Real estate,TRUE,"Göteborg, Sweden",Sweden,M,Divorced,N/A
Djoko Susanto,74,$4.1B,Fashion & Retail,Supermarkets,TRUE,"Jakarta, Indonesia",Indonesia,M,Married,5
Takao Yasuda,74,$4.1B,Fashion & Retail,Retail,TRUE,"Singapore, Singapore",Japan,M,Married,1
Rinat Akhmetov,57,$4B,Metals & Mining,"Steel, coal",TRUE,"Donetsk, Ukraine",Ukraine,M,Married,2
Isak Andic & family,70,$4B,Fashion & Retail,Fashion retail,TRUE,"Barcelona, Spain",Spain,M,Divorced,3
Cai Kui,61,$4B,Real Estate,Real estate,TRUE,"Chengdu, China",China,M,N/A,1
James Chambers,66,$4B,Media & Entertainment,"Media, automotive",FALSE,"Palisades, New York",United States,M,Married,2
